Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
BUY;1.09453;1.11821;237;0.0828;0.2587;-163.3333;0.6006;0.7231;4065;3.49815
SELL;1.11821;1.08381;344;0.0667;0.5099;-45.1477;0.5514;0.8395;12255;1.68421
SELL;1.09272;1.0492;435;0.082;0.6693;-170.1863;1.1085;0.6805;9945;2.62443
BUY;1.03578;1.05621;204;0.0788;0.2293;12.069;1.1326;0.3643;7635;1.60314
SELL;1.07862;1.06283;158;0.0759;0.9617;-79.5455;0.8838;0.3611;2805;3.37968
SELL;1.02867;1.01303;156;0.0991;0.834;-18.1818;0.6499;0.4991;2280;4.10526
SELL;1.04936;1.03197;174;0.1048;0.2642;-16;0.1581;1.1362;2160;4.83333
BUY;1.05294;1.07346;205;0.0794;0.2453;-25;0.5701;0.6832;7485;1.64329
BUY;1.05226;1.09248;402;0.0776;0.4411;-71.0638;1.2938;0.7206;10980;2.19672
SELL;1.10504;1.07613;289;0.0504;0.1885;-270.5128;0.623;0.8041;15450;1.12233
BUY;1.08339;1.12717;438;0.0569;0.2807;-376.087;0.4622;1.0882;17445;1.50645
BUY;1.07712;1.09448;174;0.0593;0.7271;-70.5882;1.1799;0.57;7560;1.38095
SELL;1.10129;1.07358;277;0.0616;0.6182;-74.2138;0.5304;0.9901;13725;1.21093
SELL;1.09395;1.0725;214;0.0375;0.11;-107.767;0.4784;1.0299;17250;0.74435
SELL;1.12057;1.07631;443;0.0442;0.2737;-453.75;0.5546;1.5433;33300;0.7982
SELL;1.09354;1.07128;223;0.1532;1.3687;-116.5049;0.9527;0.4524;735;18.20408
SELL;1.06169;1.04563;161;0.0672;0.1319;-7.3333;0.4872;0.6681;9705;0.99536
SELL;1.04356;1.01868;249;0.0702;0.5262;-31.0526;0.4997;0.8908;9840;1.51829
BUY;1.02645;1.04293;165;0.0823;0.7803;-106.25;1.251;0.418;6210;1.5942
BUY;1.02902;1.05093;219;0.0647;0.5056;-62.2222;0.9254;0.2473;6705;1.95973
BUY;1.07658;1.09439;178;0.0878;0.4643;-143.8356;0.847;0.8794;7230;1.47718
BUY;1.08953;1.10804;185;0.1471;0.7763;-92.7083;0.3661;0.5639;1365;8.13187
BUY;1.11369;1.13597;223;0.0722;0.4322;-147.7778;0.83;0.1875;6855;1.95186
BUY;1.13767;1.16277;251;0.0662;1.0622;-120.1754;1.4738;0.3317;8595;1.75218
BUY;1.14563;1.18215;365;0.0724;0.5246;-334.5238;0.6204;1.3209;11565;1.89364
SELL;1.17598;1.15688;191;0.0544;0.509;-189.3939;0.8376;0.6054;11925;0.96101
SELL;1.17873;1.13959;391;0.069;0.3427;-83.5681;1.3176;0.6629;11415;2.05519
